id,description,nodes,edges,s_abs,s_rel,c_abs,c_rel
1,F-c1:c:c:c:c:c:1,7,7,7,15.217391,0,0.0
2,S(-C)-c1:c(:c:c2-C(-C-C-c3:c(-c:2:c:c:1):c(-O-C):c(-O-C):c(-O-C):c:3)-N-C(-c1:c:c:c:c:c:1)=O)=O,34,37,6,13.043478,0,0.0
3,S(-C)-c1:c(:c:c2-C(-C-C-c3:c(-c:2:c:c:1):c(-O-C):c(-O-C):c(-O-C):c:3)-N-C(-C)=O)=O,29,31,8,17.391304,0,0.0
4,S(-C)-c1:c(:c:c2-C(-C-C-c3:c(-c:2:c:c:1):c(-O-C):c(-O-C):c(-O-C):c:3)-N-C-c1:c:c:c:c:c:1)=O,33,36,10,21.73913,0,0.0
5,S(-C)-c1:c(:c:c2-C(-C-C-c3:c(-c:2:c:c:1):c(-O-C):c(-O-C):c(-O-C):c:3)-N-C-C)=O,28,30,12,26.086956,0,0.0
6,S(-C)-c1:c(:c:c2-C(-C-C-c3:c(-c:2:c:c:1):c(-O-C):c(-O-C):c(-O-C):c:3)-N-C(-c1:c:c:c:c:c:1)=O)=O,34,37,6,13.043478,0,0.0
7,S(-C)-c1:c(:c:c2-C(-C-C-c3:c(-c:2:c:c:1):c(-O-C):c(-O-C):c(-O-C):c:3)-N-C(-C)=O)=O,29,31,8,17.391304,0,0.0
8,S(-C)-c1:c(:c:c2-C(-C-C-c3:c(-c:2:c:c:1):c(-O-C):c(-O-C):c(-O-C):c:3)-N-C-c1:c:c:c:c:c:1)=O,33,36,10,21.73913,0,0.0
9,S(-C)-c1:c(:c:c2-C(-C-C-c3:c(-c:2:c:c:1):c(-O-C):c(-O-C):c(-O-C):c:3)-N-C-C)=O,28,30,12,26.086956,0,0.0
10,s1:c(-c2:c:c:c(-N):c(-C):c:2):n:c2:c:c:c:c:c:2:1,17,19,6,13.043478,0,0.0
11,s1:c(-c2:c:c:c(-N):c:c:2):n:c2:c:c:c:c:c:2:1,16,18,11,23.913044,0,0.0
12,s1:c(-c(:c:c:c:c):c):n:c2:c:c:c:c:c:2:1,15,16,13,28.26087,0,0.0
13,s1:c(-c:c:c:c:c:c):n:c2:c:c:c:c:c:2:1,15,16,13,28.26087,0,0.0
14,N(-O)(-c1:c:c:c:c:c:1)=O,9,9,5,10.869565,0,0.0
15,N(-C)-C1-O-c2:c:c3-O-C-O-c:3:c:c:2-C(-C-1)-c1:c:c(-O-C):c(-O-C):c(-O-C):c:1,27,30,5,10.869565,0,0.0
16,N(-C-C)-C(-C)-C-C-c1:c:c(-O-C):c(-O-C):c(-O-C):c:1,19,19,13,28.26087,0,0.0
17,N(-C-C)-C(-C)-C-C-C,8,7,14,30.434782,0,0.0
18,N(-C)-C(-C-C-C)-c(:c(-C):c:c):c:c,13,12,13,28.26087,0,0.0
19,N(-C)-C(-C-C-C)-c(:c(-C):c):c:c:c,13,12,13,28.26087,0,0.0
20,N(-C)-C(-C-C-C)-c(:c(-C):c:c:c):c,13,12,13,28.26087,0,0.0
21,N(-C)-C(-C-C-C)-c(:c-C):c:c:c:c,13,12,13,28.26087,0,0.0
22,N(-C)-C(-C-C-C)-c:c(-C):c:c:c:c,13,12,13,28.26087,0,0.0
23,N(-C)-C(-C)-C-C-c1:c:c(-O-C):c(-O-C):c(-O-C):c:1,18,18,14,30.434782,0,0.0
24,N(-C)-C(-C)-C-C-C,7,6,16,34.782608,0,0.0
25,N(-C-c1:c:c:c:c:c:1)-C-C-C-c1:c:c(-O-C):c(-O-C):c(-O-C):c:1,23,24,11,23.913044,0,0.0
26,N(-C-c(:c:c:c):c:c)-C-C-C-C,12,11,13,28.26087,0,0.0
27,N(-C-c(:c:c:c:c):c)-C-C-C-C,12,11,13,28.26087,0,0.0
28,N(-C-c:c:c:c:c:c)-C-C-C-C,12,11,13,28.26087,0,0.0
29,N(-C-C)-C-C-C-c1:c:c(-O-C):c(-O-C):c(-O-C):c:1,18,18,15,32.608696,0,0.0
30,N(-c(:c:c):c:c)-C-C,8,7,5,10.869565,0,0.0
31,N(-C)-C-C-C(-C)-C,7,6,6,13.043478,0,0.0
32,N(-C)-C-C-C-c1:c:c(-O-C):c(-O-C):c(-O-C):c:1,17,17,17,36.95652,0,0.0
33,N(-C)-C-C-C-C,6,5,18,39.130436,0,0.0
